lab,rowid,period_year,period_quarter,count_tested,count_positive
20,23843,2020,3,2544,551
22,23869,2020,3,423,26
24,23894,2020,3,9,1
25,23911,2020,3,219,107
29,23920,2020,3,170,66
2,18881,2020,4,35,24
4,18944,2020,4,707,378
6,18993,2020,4,266,167
7,19036,2020,4,607,372
8,19080,2020,4,11,0
9,19086,2020,4,46,45
10,19139,2020,4,186,79
11,19159,2020,4,106,28
12,19170,2020,4,84,36
13,19193,2020,4,68,0
17,19231,2020,4,15,1
20,19388,2020,4,1645,225
22,19436,2020,4,214,86
24,19462,2020,4,2,0
25,19484,2020,4,119,56
29,19508,2020,4,107,36
31,19514,2020,4,183,33
2,3927,2021,1,34,13
4,3972,2021,1,875,413
6,4016,2021,1,486,290
7,4028,2021,1,1145,671
9,4068,2021,1,100,90
10,4108,2021,1,318,115
11,4132,2021,1,121,20
12,4139,2021,1,108,33
13,4153,2021,1,56,17
17,4189,2021,1,12,3
20,4365,2021,1,1694,307
22,4414,2021,1,214,86
24,4442,2021,1,13,4
25,4464,2021,1,263,77
29,4487,2021,1,166,92
31,4491,2021,1,194,50
2,8472,2021,2,49,21
4,8510,2021,2,1384,699
6,8559,2021,2,889,463
7,8608,2021,2,1092,612
9,8625,2021,2,33,30
10,8643,2021,2,323,127
12,8671,2021,2,186,70
13,8690,2021,2,60,24
16,8716,2021,2,347,73
17,8743,2021,2,11,4
20,8846,2021,2,1946,246
22,8918,2021,2,488,187
24,8950,2021,2,10,4
25,8966,2021,2,373,175
29,8985,2021,2,118,18
31,8991,2021,2,160,62
2,9031,2021,3,25,6
6,9103,2021,3,617,308
7,9134,2021,3,977,531
9,9141,2021,3,46,41
10,9171,2021,3,537,228
12,9178,2021,3,231,75
13,9194,2021,3,40,12
16,9223,2021,3,371,76
17,9270,2021,3,14,5
20,9432,2021,3,2461,482
22,9483,2021,3,364,138
24,9509,2021,3,4,0
25,9524,2021,3,265,99
29,9538,2021,3,158,69
31,9548,2021,3,84,57
2,9715,2021,4,27,14
4,9762,2021,4,794,409
6,9812,2021,4,262,123
7,9841,2021,4,516,270
9,9850,2021,4,12,11
10,9881,2021,4,237,0
12,9900,2021,4,98,22
13,9915,2021,4,33,15
16,9560,2021,4,177,33
17,9620,2021,4,27,8
20,10022,2021,4,1409,241
22,10065,2021,4,288,111
25,10117,2021,4,193,91
29,10144,2021,4,168,81
31,10148,2021,4,60,40
2,1303,2022,1,12,4
4,1498,2022,1,866,379
6,1541,2022,1,390,241
7,1567,2022,1,604,261
9,1582,2022,1,39,32
10,1085,2022,1,449,196
12,1109,2022,1,154,47
13,1132,2022,1,45,17
16,1148,2022,1,80,12
17,1183,2022,1,8,2
20,1359,2022,1,1657,275
22,1422,2022,1,454,213
24,1448,2022,1,5,3
25,1457,2022,1,267,144
29,1471,2022,1,154,72
2,1843,2022,2,18,11
4,2069,2022,2,1986,1015
6,2113,2022,2,636,426
7,2136,2022,2,992,585
9,2149,2022,2,49,48
10,1631,2022,2,402,212
12,1649,2022,2,197,81
13,1674,2022,2,26,6
16,1702,2022,2,687,27
17,1743,2022,2,15,4
20,1907,2022,2,1926,271
22,1976,2022,2,422,78
24,2002,2022,2,4,0
25,2017,2022,2,264,98
29,2042,2022,2,203,103
2,2374,2022,3,47,28
4,2609,2022,3,2021,1062
6,2654,2022,3,1037,541
7,2677,2022,3,818,524
9,2688,2022,3,47,41
10,2201,2022,3,542,211
12,2225,2022,3,191,75
13,2246,2022,3,23,11
16,2272,2022,3,845,81
17,2310,2022,3,25,7
20,2434,2022,3,2253,467
22,2497,2022,3,393,195
24,2519,2022,3,2,1
25,2548,2022,3,262,122
29,2578,2022,3,248,89
2,3385,2022,4,21,0
4,3460,2022,4,1075,548
6,3506,2022,4,520,281
7,3526,2022,4,485,328
9,3531,2022,4,48,46
10,3567,2022,4,489,203
12,3588,2022,4,67,29
13,3608,2022,4,40,13
17,3644,2022,4,22,9
20,3779,2022,4,1356,195
22,3817,2022,4,245,45
25,3844,2022,4,286,135
29,3878,2022,4,744,89
2,47,2023,1,32,19
4,95,2023,1,1362,723
6,137,2023,1,815,228
7,149,2023,1,728,439
9,160,2023,1,34,31
10,188,2023,1,591,300
12,199,2023,1,117,43
13,221,2023,1,19,2
16,241,2023,1,122,19
17,256,2023,1,23,13
20,384,2023,1,1609,326
22,417,2023,1,318,46
24,436,2023,1,1,0
25,451,2023,1,165,91
29,462,2023,1,138,72
2,796,2023,2,52,30
4,495,2023,2,2301,1205
6,541,2023,2,1033,385
7,563,2023,2,813,425
9,580,2023,2,42,40
10,607,2023,2,747,334
12,620,2023,2,225,72
13,831,2023,2,41,10
16,637,2023,2,499,104
17,652,2023,2,20,9
20,953,2023,2,1751,310
22,705,2023,2,361,21
24,981,2023,2,2,0
25,735,2023,2,348,135
29,757,2023,2,197,81
2,3150,2023,3,46,20
4,3202,2023,3,1898,1103
6,3245,2023,3,851,302
7,3267,2023,3,951,472
10,3301,2023,3,762,328
12,3312,2023,3,185,76
13,3327,2023,3,10,7
16,2866,2023,3,537,92
17,2893,2023,3,27,15
20,3037,2023,3,1759,363
22,3076,2023,3,298,40
25,3109,2023,3,342,132
29,3341,2023,3,340,199
30,3345,2023,3,30542,4587
2,7337,2023,4,17,9
4,7393,2023,4,1222,737
6,7440,2023,4,831,460
9,7482,2023,4,23,20
10,7545,2023,4,456,252
12,7566,2023,4,129,51
13,7598,2023,4,15,4
16,7638,2023,4,55,17
17,7671,2023,4,19,4
20,7837,2023,4,1655,251
22,7873,2023,4,212,21
25,7934,2023,4,299,159
29,7953,2023,4,160,102
30,7959,2023,4,22680,3813
31,10778,2023,4,154,46
