lab,rowid,period_year,period_quarter,count_tested,count_positive
17,31097,2010,4,67,18
20,31144,2010,4,414,133
21,31161,2010,4,140,25
22,31279,2010,4,103,40
25,31175,2010,4,102,22
28,31190,2010,4,29,1
29,31337,2010,4,43,15
32,31225,2010,4,48,1
35,31244,2010,4,20,2
36,31254,2010,4,19,2
37,31261,2010,4,67,7
39,31268,2010,4,35,11
42,31296,2010,4,172,33
46,31311,2010,4,51,17
2,31370,2011,1,36,15
4,31391,2011,1,23,8
10,31763,2011,1,138,35
11,31425,2011,1,127,23
12,31435,2011,1,79,11
13,31446,2011,1,200,49
14,31463,2011,1,712,323
17,31481,2011,1,127,31
20,31531,2011,1,866,287
21,31549,2011,1,95,34
22,31682,2011,1,196,59
25,31563,2011,1,137,24
28,31580,2011,1,14,5
29,31779,2011,1,39,11
32,31616,2011,1,39,2
35,31641,2011,1,15,6
37,31660,2011,1,143,6
39,31669,2011,1,88,25
42,31700,2011,1,190,46
45,31719,2011,1,21,10
46,31746,2011,1,38,17
2,31804,2011,2,67,16
4,31826,2011,2,21,7
10,32189,2011,2,171,34
11,31859,2011,2,124,0
12,31867,2011,2,79,14
13,31878,2011,2,257,111
14,31896,2011,2,517,195
17,31914,2011,2,109,43
20,31966,2011,2,924,279
21,31984,2011,2,102,27
22,32106,2011,2,242,40
25,32001,2011,2,185,43
29,32205,2011,2,50,10
31,32008,2011,2,27,6
32,32040,2011,2,30,0
35,32066,2011,2,15,4
36,32081,2011,2,13,0
37,32085,2011,2,100,4
39,32094,2011,2,96,22
42,32126,2011,2,221,35
45,32149,2011,2,17,4
46,32174,2011,2,381,145
2,32770,2011,3,40,4
4,32788,2011,3,18,6
9,32806,2011,3,109,0
10,32978,2011,3,267,101
11,32818,2011,3,199,0
12,32825,2011,3,127,10
13,32642,2011,3,243,67
14,32657,2011,3,503,259
17,32675,2011,3,137,45
20,32720,2011,3,830,212
21,32734,2011,3,100,35
22,32926,2011,3,98,30
25,32752,2011,3,278,70
29,32994,2011,3,61,19
31,32834,2011,3,41,12
32,32868,2011,3,26,2
35,32885,2011,3,17,6
37,32900,2011,3,174,5
39,32909,2011,3,219,70
42,32943,2011,3,196,44
45,32956,2011,3,21,11
46,32968,2011,3,238,90
2,32234,2011,4,63,21
4,32256,2011,4,19,10
9,32279,2011,4,83,0
10,32613,2011,4,146,64
11,32293,2011,4,88,25
12,32301,2011,4,93,14
13,32311,2011,4,209,69
14,32331,2011,4,489,176
17,32349,2011,4,104,36
18,32374,2011,4,223,0
20,32400,2011,4,768,322
21,32415,2011,4,31,8
22,32552,2011,4,158,50
25,32433,2011,4,109,35
29,32628,2011,4,26,14
31,32444,2011,4,42,7
32,32479,2011,4,19,2
33,32496,2011,4,12,0
35,32508,2011,4,14,2
37,32527,2011,4,136,17
39,32534,2011,4,99,28
42,32566,2011,4,137,19
45,32584,2011,4,22,5
46,32600,2011,4,207,102
2,24119,2012,1,66,2
4,24142,2012,1,14,7
9,24153,2012,1,110,0
10,24493,2012,1,123,49
11,24167,2012,1,139,31
12,24177,2012,1,105,23
13,24186,2012,1,249,86
14,24204,2012,1,530,228
17,24220,2012,1,184,50
18,24245,2012,1,174,23
20,24271,2012,1,931,437
21,24288,2012,1,94,23
22,24424,2012,1,187,66
25,24307,2012,1,185,54
29,24510,2012,1,116,25
31,24321,2012,1,29,2
32,24356,2012,1,28,0
33,24371,2012,1,37,12
35,24380,2012,1,38,34
37,24401,2012,1,163,25
39,24407,2012,1,113,44
42,24440,2012,1,161,26
45,24460,2012,1,28,0
46,24475,2012,1,180,66
4,24664,2012,2,37,16
9,24687,2012,2,87,75
10,25030,2012,2,111,0
11,24703,2012,2,197,44
12,24714,2012,2,125,19
13,24724,2012,2,164,61
14,24743,2012,2,795,297
17,25012,2012,2,142,41
18,24759,2012,2,424,28
20,24784,2012,2,688,253
21,24800,2012,2,56,15
25,24819,2012,2,120,25
29,25042,2012,2,228,38
31,24833,2012,2,31,7
32,24880,2012,2,36,0
33,24897,2012,2,72,20
35,24908,2012,2,14,9
37,24925,2012,2,268,25
42,24940,2012,2,218,43
43,24949,2012,2,122,41
45,24994,2012,2,23,6
46,24971,2012,2,318,122
2,25201,2012,3,120,45
4,25224,2012,3,28,14
9,25247,2012,3,68,58
10,25610,2012,3,139,0
11,25264,2012,3,289,66
12,25275,2012,3,146,34
13,25287,2012,3,242,78
14,25307,2012,3,733,269
17,25593,2012,3,189,46
20,25352,2012,3,1184,468
21,25370,2012,3,82,27
22,25503,2012,3,242,72
25,25388,2012,3,235,67
29,25625,2012,3,175,66
31,25405,2012,3,22,3
32,25440,2012,3,39,0
33,25458,2012,3,40,15
35,25470,2012,3,25,8
37,25491,2012,3,183,10
42,25521,2012,3,204,60
43,25530,2012,3,167,62
45,25575,2012,3,9,0
46,25552,2012,3,246,94
2,25942,2012,4,52,40
4,25965,2012,4,69,34
9,25988,2012,4,127,107
10,26085,2012,4,172,23
11,26008,2012,4,79,18
12,26019,2012,4,105,31
13,25636,2012,4,255,66
14,25657,2012,4,606,234
17,26070,2012,4,172,57
18,25675,2012,4,309,0
20,25703,2012,4,589,221
21,25720,2012,4,37,7
22,25870,2012,4,121,36
25,25738,2012,4,106,54
29,25760,2012,4,127,34
31,25768,2012,4,38,5
32,25803,2012,4,62,0
33,25821,2012,4,37,0
35,25833,2012,4,15,4
36,25847,2012,4,40,0
37,25857,2012,4,127,14
42,25888,2012,4,180,56
43,25898,2012,4,73,31
45,26052,2012,4,6,1
46,26028,2012,4,151,69
2,26165,2013,1,65,5
4,26188,2013,1,42,16
8,26099,2013,1,60,6
9,26105,2013,1,88,62
10,26538,2013,1,186,58
11,26125,2013,1,171,40
12,26136,2013,1,87,19
13,26208,2013,1,277,79
14,26227,2013,1,896,386
17,26522,2013,1,120,26
18,26244,2013,1,231,52
20,26272,2013,1,1246,591
21,26289,2013,1,190,37
22,26430,2013,1,219,55
25,26304,2013,1,106,43
29,26327,2013,1,227,103
31,26336,2013,1,29,3
32,26371,2013,1,62,0
33,26383,2013,1,48,6
35,26394,2013,1,20,11
36,26408,2013,1,6,0
37,26417,2013,1,142,3
42,26448,2013,1,209,82
43,26462,2013,1,105,48
45,26505,2013,1,12,3
46,26484,2013,1,145,63
2,26557,2013,2,65,16
4,26581,2013,2,27,1
9,26618,2013,2,113,95
10,26973,2013,2,320,60
11,26635,2013,2,152,59
12,26649,2013,2,174,0
13,26660,2013,2,342,125
14,26679,2013,2,879,379
17,26955,2013,2,140,43
20,26721,2013,2,1638,621
21,26738,2013,2,59,17
22,26857,2013,2,339,91
29,26764,2013,2,75,23
31,26774,2013,2,52,8
32,26809,2013,2,156,0
33,26821,2013,2,48,6
35,26827,2013,2,23,11
36,26840,2013,2,8,0
42,26873,2013,2,297,56
43,26888,2013,2,184,59
45,26935,2013,2,14,7
46,26914,2013,2,145,63
2,27169,2013,3,125,125
4,27193,2013,3,15,5
9,27219,2013,3,106,90
11,27060,2013,3,300,80
12,27072,2013,3,156,35
13,27088,2013,3,274,78
14,27112,2013,3,950,113
17,27546,2013,3,122,25
20,27249,2013,3,1540,612
21,27268,2013,3,130,43
22,27439,2013,3,339,97
29,27327,2013,3,161,63
31,27340,2013,3,66,6
32,27380,2013,3,90,2
35,27404,2013,3,19,7
37,27426,2013,3,302,104
42,27457,2013,3,236,77
43,27474,2013,3,101,43
45,27526,2013,3,10,5
46,27505,2013,3,221,103
2,27702,2013,4,125,125
4,27725,2013,4,37,7
9,27752,2013,4,90,82
10,27770,2013,4,53,0
11,27791,2013,4,138,70
12,28137,2013,4,49,6
13,27816,2013,4,227,0
14,27839,2013,4,950,66
17,28202,2013,4,87,21
20,27881,2013,4,919,354
21,27901,2013,4,31,0
22,28101,2013,4,211,74
25,27929,2013,4,124,0
29,27989,2013,4,175,37
31,28000,2013,4,61,6
32,28039,2013,4,90,2
35,28065,2013,4,28,14
36,28078,2013,4,20,0
37,28088,2013,4,60,28
43,28119,2013,4,30,9
45,28181,2013,4,18,7
46,28160,2013,4,169,67
2,28281,2014,1,66,54
4,28299,2014,1,37,22
9,28321,2014,1,71,63
11,28347,2014,1,187,0
12,28356,2014,1,126,22
13,28368,2014,1,234,89
17,28403,2014,1,65,0
21,28469,2014,1,18,8
22,28627,2014,1,482,169
29,28502,2014,1,294,148
31,28512,2014,1,99,12
32,28547,2014,1,75,2
33,28558,2014,1,13,5
35,28569,2014,1,45,32
36,28585,2014,1,6,0
37,28599,2014,1,345,24
39,28610,2014,1,38,8
45,28641,2014,1,6,1
2,28680,2014,2,82,0
4,28690,2014,2,21,11
8,28712,2014,2,168,56
9,28717,2014,2,70,58
10,28731,2014,2,223,112
11,28749,2014,2,117,0
12,28761,2014,2,113,19
13,28773,2014,2,226,72
14,28794,2014,2,1365,341
17,28808,2014,2,121,48
20,28837,2014,2,1636,571
21,28854,2014,2,21,5
22,29005,2014,2,275,75
25,28873,2014,2,187,77
29,28885,2014,2,203,90
32,28926,2014,2,267,1
33,28936,2014,2,46,15
34,28945,2014,2,96,29
35,28958,2014,2,187,0
37,28974,2014,2,308,20
39,28987,2014,2,98,0
2,29266,2014,3,123,13
4,29286,2014,3,36,18
9,29221,2014,3,56,51
10,29232,2014,3,268,44
11,29248,2014,3,316,97
12,29288,2014,3,155,36
13,29300,2014,3,134,49
17,29333,2014,3,30,10
20,29377,2014,3,1575,679
21,29401,2014,3,5,2
22,29562,2014,3,525,180
25,29421,2014,3,205,48
29,29435,2014,3,257,99
31,29444,2014,3,92,19
32,29474,2014,3,40,3
34,29494,2014,3,130,53
35,29507,2014,3,15,10
37,29530,2014,3,40,10
39,29542,2014,3,93,28
4,29586,2014,4,28,7
9,29607,2014,4,92,70
10,29619,2014,4,215,78
11,29633,2014,4,1,1
13,29652,2014,4,130,41
14,29672,2014,4,1241,413
17,29684,2014,4,50,13
20,29722,2014,4,1016,339
21,29741,2014,4,5,2
22,29896,2014,4,207,68
25,29766,2014,4,162,78
29,29781,2014,4,238,76
31,29791,2014,4,88,23
32,29822,2014,4,111,15
34,29844,2014,4,76,35
35,29856,2014,4,18,11
37,29874,2014,4,160,100
39,29884,2014,4,32,8
2,16899,2015,1,155,21
4,16921,2015,1,33,7
9,16957,2015,1,47,40
10,16964,2015,1,353,128
11,16975,2015,1,227,77
12,16989,2015,1,109,25
13,16997,2015,1,133,42
14,17017,2015,1,1108,215
17,17038,2015,1,49,15
20,17058,2015,1,1202,481
21,17083,2015,1,6,2
22,17255,2015,1,207,68
25,17105,2015,1,165,41
29,17116,2015,1,192,102
31,17126,2015,1,35,5
32,17144,2015,1,14,6
33,17268,2015,1,33,6
34,17188,2015,1,87,42
35,17208,2015,1,18,6
37,17231,2015,1,261,70
39,17238,2015,1,52,5
2,17833,2015,2,78,18
4,17850,2015,2,26,9
9,17867,2015,2,60,50
10,17881,2015,2,408,92
11,17896,2015,2,179,76
13,17921,2015,2,141,38
14,17941,2015,2,1873,401
17,17959,2015,2,59,10
20,17997,2015,2,1826,653
21,18011,2015,2,2,1
22,18170,2015,2,437,157
25,18028,2015,2,210,39
29,18039,2015,2,179,70
32,18088,2015,2,36,9
33,18171,2015,2,73,29
34,18109,2015,2,208,97
35,18125,2015,2,10,3
36,18130,2015,2,12,5
37,18141,2015,2,403,38
39,18156,2015,2,50,11
2,18195,2015,3,93,12
4,18215,2015,3,43,26
8,18235,2015,3,90,22
10,18244,2015,3,620,224
11,18261,2015,3,297,73
12,18269,2015,3,143,20
13,18280,2015,3,113,30
20,18321,2015,3,2379,928
21,18339,2015,3,8,5
22,18477,2015,3,354,153
25,18359,2015,3,294,159
31,18366,2015,3,96,32
32,18398,2015,3,30,0
33,18486,2015,3,50,16
34,18416,2015,3,110,43
35,18434,2015,3,32,4
36,18447,2015,3,7,1
37,18454,2015,3,367,73
39,18463,2015,3,26,8
2,18491,2015,4,64,24
4,18513,2015,4,13,2
10,18544,2015,4,435,174
11,18557,2015,4,142,43
12,18574,2015,4,71,12
13,18585,2015,4,100,23
17,18609,2015,4,46,17
20,18634,2015,4,1460,203
22,18798,2015,4,212,99
25,18668,2015,4,191,91
29,18682,2015,4,175,93
31,18693,2015,4,81,23
32,18705,2015,4,18,5
34,18729,2015,4,49,23
35,18748,2015,4,14,4
37,18772,2015,4,165,0
